Timestamp,Site - PV Power,Site - Load Power,Site - Grid Power,Site - Battery Power
Wed Nov 25 2020 00:00:00 GMT+1100 (AEDT),0,1093,1093,0
Wed Nov 25 2020 00:01:00 GMT+1100 (AEDT),0,1090,1090,0
Wed Nov 25 2020 00:02:00 GMT+1100 (AEDT),0,1095,1095,0
Wed Nov 25 2020 00:03:00 GMT+1100 (AEDT),0,1089,1089,0
Wed Nov 25 2020 00:04:00 GMT+1100 (AEDT),0,1037,1037,0
Wed Nov 25 2020 00:05:00 GMT+1100 (AEDT),0,995,995,0
Wed Nov 25 2020 00:06:00 GMT+1100 (AEDT),0,999.1666666666666,999.1666666666666,0
Wed Nov 25 2020 00:07:00 GMT+1100 (AEDT),0,1001.3333333333334,1001.3333333333334,0
Wed Nov 25 2020 00:08:00 GMT+1100 (AEDT),0,1004.6666666666666,1004.6666666666666,0
Wed Nov 25 2020 00:09:00 GMT+1100 (AEDT),0,1001.1666666666666,1001.1666666666666,0
Wed Nov 25 2020 00:10:00 GMT+1100 (AEDT),0,1004,1004,0
Wed Nov 25 2020 00:11:00 GMT+1100 (AEDT),0,1005.3333333333334,1005.3333333333334,0
Wed Nov 25 2020 00:12:00 GMT+1100 (AEDT),0,1010,1010,0
Wed Nov 25 2020 00:13:00 GMT+1100 (AEDT),0,1015,1015,0
Wed Nov 25 2020 00:14:00 GMT+1100 (AEDT),0,995.8333333333334,995.8333333333334,0
Wed Nov 25 2020 00:15:00 GMT+1100 (AEDT),0,996,996,0
Wed Nov 25 2020 00:16:00 GMT+1100 (AEDT),0,1006.1666666666666,1006.1666666666666,0
Wed Nov 25 2020 00:17:00 GMT+1100 (AEDT),0,996.8333333333334,996.8333333333334,0
Wed Nov 25 2020 00:18:00 GMT+1100 (AEDT),0,1002.1666666666666,1002.1666666666666,0
Wed Nov 25 2020 00:19:00 GMT+1100 (AEDT),0,1011.6666666666666,1011.6666666666666,0
Wed Nov 25 2020 00:20:00 GMT+1100 (AEDT),0,1013.5,1013.5,0
Wed Nov 25 2020 00:21:00 GMT+1100 (AEDT),0,1012.3333333333334,1012.3333333333334,0
Wed Nov 25 2020 00:22:00 GMT+1100 (AEDT),0,1000,1000,0
Wed Nov 25 2020 00:23:00 GMT+1100 (AEDT),0,992,992,0
Wed Nov 25 2020 00:24:00 GMT+1100 (AEDT),0,990.5,990.5,0
Wed Nov 25 2020 00:25:00 GMT+1100 (AEDT),0,994.8333333333334,994.8333333333334,0
Wed Nov 25 2020 00:26:00 GMT+1100 (AEDT),0,990.5,990.5,0
Wed Nov 25 2020 00:27:00 GMT+1100 (AEDT),0,985.3333333333334,985.3333333333334,0
Wed Nov 25 2020 00:28:00 GMT+1100 (AEDT),0,992.3333333333334,992.3333333333334,0
Wed Nov 25 2020 00:29:00 GMT+1100 (AEDT),0,1013.8333333333334,1013.8333333333334,0
Wed Nov 25 2020 00:30:00 GMT+1100 (AEDT),0,1016.6666666666666,1016.6666666666666,0
Wed Nov 25 2020 00:31:00 GMT+1100 (AEDT),0,1005.1666666666666,1005.1666666666666,0
Wed Nov 25 2020 00:32:00 GMT+1100 (AEDT),0,997.8,997.8,0
Wed Nov 25 2020 00:33:00 GMT+1100 (AEDT),0,996.5714285714286,996.5714285714286,0
Wed Nov 25 2020 00:34:00 GMT+1100 (AEDT),0,995.5,995.5,0
Wed Nov 25 2020 00:35:00 GMT+1100 (AEDT),0,994.6,994.6,0
Wed Nov 25 2020 00:36:00 GMT+1100 (AEDT),0,998.5,998.5,0
Wed Nov 25 2020 00:37:00 GMT+1100 (AEDT),0,997,997,0
Wed Nov 25 2020 00:38:00 GMT+1100 (AEDT),0,1004,1004,0
Wed Nov 25 2020 00:39:00 GMT+1100 (AEDT),0,986.5,986.5,0
Wed Nov 25 2020 00:40:00 GMT+1100 (AEDT),0,973,973,0
Wed Nov 25 2020 00:41:00 GMT+1100 (AEDT),0,982.5,982.5,0
Wed Nov 25 2020 00:42:00 GMT+1100 (AEDT),0,976,976,0
Wed Nov 25 2020 00:43:00 GMT+1100 (AEDT),0,999.5,999.5,0
Wed Nov 25 2020 00:44:00 GMT+1100 (AEDT),0,979,979,0
Wed Nov 25 2020 00:45:00 GMT+1100 (AEDT),0,996,996,0
Wed Nov 25 2020 00:46:00 GMT+1100 (AEDT),0,988.1666666666666,988.1666666666666,0
Wed Nov 25 2020 00:47:00 GMT+1100 (AEDT),0,964.5,964.5,0
Wed Nov 25 2020 00:48:00 GMT+1100 (AEDT),0,957,957,0
Wed Nov 25 2020 00:49:00 GMT+1100 (AEDT),0,957.3333333333334,957.3333333333334,0
Wed Nov 25 2020 00:50:00 GMT+1100 (AEDT),0,966.5,966.5,0
Wed Nov 25 2020 00:51:00 GMT+1100 (AEDT),0,962.3333333333334,962.3333333333334,0
Wed Nov 25 2020 00:52:00 GMT+1100 (AEDT),0,956.8333333333334,956.8333333333334,0
Wed Nov 25 2020 00:53:00 GMT+1100 (AEDT),0,957.5,957.5,0
Wed Nov 25 2020 00:54:00 GMT+1100 (AEDT),0,952.6666666666666,952.6666666666666,0
Wed Nov 25 2020 00:55:00 GMT+1100 (AEDT),0,951.5,951.5,0
Wed Nov 25 2020 00:56:00 GMT+1100 (AEDT),0,962.3333333333334,962.3333333333334,0
Wed Nov 25 2020 00:57:00 GMT+1100 (AEDT),0,976.3333333333334,976.3333333333334,0
Wed Nov 25 2020 00:58:00 GMT+1100 (AEDT),0,964.6666666666666,964.6666666666666,0
Wed Nov 25 2020 00:59:00 GMT+1100 (AEDT),0,973,973,0
Wed Nov 25 2020 01:00:00 GMT+1100 (AEDT),0,960.6666666666666,960.6666666666666,0
Wed Nov 25 2020 01:01:00 GMT+1100 (AEDT),0,961,961,0
Wed Nov 25 2020 01:02:00 GMT+1100 (AEDT),0,957.8333333333334,957.8333333333334,0
Wed Nov 25 2020 01:03:00 GMT+1100 (AEDT),0,965.5,965.5,0
Wed Nov 25 2020 01:04:00 GMT+1100 (AEDT),0,970.5,970.5,0
Wed Nov 25 2020 01:05:00 GMT+1100 (AEDT),0,996.1666666666666,996.1666666666666,0
Wed Nov 25 2020 01:06:00 GMT+1100 (AEDT),0,973.8333333333334,973.8333333333334,0
Wed Nov 25 2020 01:07:00 GMT+1100 (AEDT),0,941.8333333333334,941.8333333333334,0
Wed Nov 25 2020 01:08:00 GMT+1100 (AEDT),0,938.3333333333334,938.3333333333334,0
Wed Nov 25 2020 01:09:00 GMT+1100 (AEDT),0,939.1666666666666,939.1666666666666,0
Wed Nov 25 2020 01:10:00 GMT+1100 (AEDT),0,942.3333333333334,942.3333333333334,0
Wed Nov 25 2020 01:11:00 GMT+1100 (AEDT),0,948.8333333333334,948.8333333333334,0
Wed Nov 25 2020 01:12:00 GMT+1100 (AEDT),0,941.5,941.5,0
Wed Nov 25 2020 01:13:00 GMT+1100 (AEDT),0,946.6666666666666,946.6666666666666,0
Wed Nov 25 2020 01:14:00 GMT+1100 (AEDT),0,936.3333333333334,936.3333333333334,0
Wed Nov 25 2020 01:15:00 GMT+1100 (AEDT),0,941.8333333333334,941.8333333333334,0
Wed Nov 25 2020 01:16:00 GMT+1100 (AEDT),0,937.3333333333334,937.3333333333334,0
Wed Nov 25 2020 01:17:00 GMT+1100 (AEDT),0,936.1666666666666,936.1666666666666,0
Wed Nov 25 2020 01:18:00 GMT+1100 (AEDT),0,931.5,931.5,0
Wed Nov 25 2020 01:19:00 GMT+1100 (AEDT),0,933,933,0
